Frequency Set (GHz)	THz Photocurrent (nA)	Frequency Act (GHz)
132.060	-194.433	123.765
132.100	-168.821	123.811
132.140	-142.485	123.849
132.180	-108.803	123.886
132.220	-68.558	123.929
132.260	-18.939	123.972
132.300	34.984	124.008
132.340	79.978	124.050
132.380	113.024	124.092
132.420	143.845	124.133
132.460	158.423	124.170
132.500	162.083	124.208
132.540	159.413	124.251
132.580	144.997	124.289
132.620	119.902	124.328
132.660	83.920	124.369
132.700	33.154	124.411
132.740	-33.690	124.450
132.780	-108.872	124.491
132.820	-182.951	124.527
132.860	-248.702	124.568
132.900	-312.576	124.613
132.940	-370.022	124.652
132.980	-421.314	124.688
133.020	-464.169	124.732
133.060	-489.162	124.772
133.100	-494.595	124.811
133.140	-475.635	124.850
133.180	-433.612	124.895
133.220	-362.569	124.932
133.260	-265.627	124.973
133.300	-190.864	125.012
133.340	-134.891	125.056
133.380	-76.862	125.092
133.420	-9.285	125.132
133.460	65.079	125.174
133.500	143.286	125.215
133.540	221.023	125.258
133.580	288.898	125.297
133.620	338.380	125.332
133.660	369.367	125.375
133.700	377.834	125.415
133.740	373.717	125.458
133.780	358.034	125.497
133.820	324.090	125.535
133.860	279.016	125.575
133.900	221.311	125.617
133.940	147.692	125.658
133.980	72.362	125.697
134.020	-9.221	125.735
134.060	-91.422	125.774
134.100	-166.613	125.819
134.140	-229.104	125.856
134.180	-285.908	125.896
134.220	-324.281	125.939
134.260	-340.096	125.979
134.300	-346.544	126.019
134.340	-346.807	126.058
134.380	-327.025	126.102
134.420	-289.429	126.140
134.460	-231.262	126.178
134.500	-151.933	126.218
134.540	-64.073	126.259
134.580	27.195	126.301
134.620	126.108	126.341
134.660	229.717	126.379
134.700	326.817	126.421
134.740	409.463	126.456
134.780	479.106	126.500
134.820	538.865	126.541
134.860	579.738	126.581
134.900	606.987	126.624
134.940	619.049	126.664
134.980	609.446	126.705
135.020	572.550	126.746
135.060	518.324	126.784
135.100	452.548	126.824
135.140	361.645	126.864
135.180	253.490	126.906
135.220	142.713	126.946
135.260	21.531	126.985
135.300	-111.561	127.028
135.340	-239.271	127.068
135.380	-343.746	127.106
135.420	-423.600	127.144
135.460	-486.309	127.183
135.500	-535.612	127.224
135.540	-571.151	127.267
135.580	-593.243	127.306
135.620	-603.923	127.346
135.660	-599.819	127.388
135.700	-571.446	127.422
135.740	-520.795	127.467
135.780	-453.710	127.508
135.820	-373.493	127.551
135.860	-284.397	127.587
135.900	-193.241	127.628
135.940	-101.325	127.670
135.980	-12.353	127.707
136.020	71.906	127.745
136.060	142.491	127.787
136.100	196.712	127.830
136.140	232.386	127.867
136.180	253.030	127.911
136.220	259.702	127.948
136.260	244.330	127.990
136.300	206.456	128.033
136.340	149.972	128.072
136.380	83.634	128.109
136.420	5.418	128.150
136.460	-85.376	128.192
136.500	-174.397	128.232
136.540	-258.391	128.272
136.580	-335.242	128.314
136.620	-400.345	128.353
136.660	-458.880	128.393
136.700	-496.774	128.434
136.740	-502.833	128.475
136.780	-472.370	128.515
136.820	-426.152	128.552
136.860	-369.956	128.599
136.900	-314.421	128.634
136.940	-264.131	128.675
136.980	-214.862	128.716
137.020	-164.094	128.754
137.060	-102.873	128.795
137.100	-34.531	128.837
137.140	41.222	128.874
137.180	137.424	128.917
137.220	209.282	128.959
137.260	242.171	128.996
137.300	254.724	129.037
137.340	253.375	129.075
137.380	239.005	129.116
137.420	214.342	129.156
137.460	184.429	129.195
137.500	144.996	129.238
137.540	100.543	129.277
137.580	50.413	129.318
137.620	-3.419	129.361
137.660	-59.041	129.396
137.700	-120.593	129.438
137.740	-187.415	129.476
137.780	-249.099	129.520
137.820	-294.779	129.562
137.860	-312.429	129.604
137.900	-311.220	129.639
137.940	-294.098	129.680
137.980	-258.701	129.719
138.020	-207.548	129.760
138.060	-140.806	129.804
138.100	-62.582	129.845
138.140	24.881	129.882
138.180	114.807	129.922
138.220	202.885	129.960
138.260	289.038	130.004
138.300	364.878	130.041
138.340	432.267	130.079
138.380	498.559	130.121
138.420	553.963	130.164
138.460	593.774	130.200
138.500	607.286	130.243
138.540	598.169	130.287
138.580	566.218	130.322
138.620	510.645	130.361
138.660	432.739	130.402
138.700	337.303	130.446
138.740	223.921	130.484
138.780	96.944	130.522
138.820	-40.028	130.563
138.860	-181.636	130.604
138.900	-322.181	130.644
138.940	-447.253	130.683
138.980	-559.699	130.720
139.020	-661.748	130.759
139.060	-737.362	130.806
139.100	-772.387	130.846
139.140	-778.732	130.884
139.180	-765.415	130.927
139.220	-730.048	130.967
139.260	-675.362	131.008
139.300	-609.587	131.044
139.340	-544.816	131.085
139.380	-461.882	131.128
139.420	-342.996	131.168
139.460	-211.534	131.205
139.500	-84.939	131.247
139.540	35.210	131.290
139.580	141.375	131.327
139.620	236.247	131.366
139.660	323.392	131.407
139.700	394.088	131.448
139.740	448.203	131.488
139.780	481.793	131.528
139.820	504.098	131.569
139.860	508.763	131.608
139.900	501.240	131.649
139.940	477.680	131.689
139.980	435.391	131.728
140.020	381.617	131.771
140.060	302.210	131.814
140.100	209.624	131.848
140.140	125.499	131.892
140.180	56.101	131.931
140.220	-4.111	131.971
140.260	-61.256	132.011
140.300	-114.480	132.051
140.340	-152.392	132.092
140.380	-169.703	132.129
140.420	-171.362	132.175
140.460	-159.405	132.212
140.500	-136.529	132.252
140.540	-104.376	132.294
140.580	-64.234	132.333
140.620	-22.544	132.372
140.660	12.866	132.410
140.700	44.264	132.457
140.740	73.123	132.496
140.780	99.131	132.535
140.820	120.527	132.573
140.860	131.729	132.615
140.900	132.026	132.657
140.940	118.333	132.695
140.980	92.575	132.737
141.020	53.325	132.776
141.060	3.525	132.817
141.100	-57.397	132.855
141.140	-128.699	132.894
141.180	-199.427	132.936
141.220	-270.847	132.976
141.260	-323.942	133.019
141.300	-362.773	133.057
141.340	-403.701	133.096
141.380	-435.848	133.137
141.420	-456.000	133.179
141.460	-465.667	133.218
141.500	-464.561	133.257
141.540	-448.726	133.301
141.580	-420.116	133.335
141.620	-388.220	133.381
141.660	-348.008	133.419
141.700	-299.922	133.461
141.740	-247.296	133.500
141.780	-181.014	133.540
141.820	-108.172	133.580
141.860	-35.037	133.619
141.900	38.941	133.657
141.940	108.335	133.703
141.980	166.446	133.744
142.020	208.128	133.783
142.060	232.188	133.820
142.100	235.589	133.865
142.140	227.166	133.902
142.180	212.368	133.943
142.220	193.309	133.982
142.260	162.895	134.025
142.300	111.407	134.065
142.340	43.890	134.103
142.380	-34.218	134.146
142.420	-113.513	134.186
142.460	-189.055	134.226
142.500	-256.592	134.264
142.540	-313.298	134.305
142.580	-359.639	134.349
142.620	-394.834	134.391
142.660	-415.640	134.429
142.700	-421.873	134.472
142.740	-412.516	134.508
142.780	-383.006	134.550
142.820	-333.843	134.591
142.860	-265.924	134.629
142.900	-166.792	134.669
142.940	-50.311	134.712
142.980	56.905	134.751
143.020	156.293	134.789
143.060	247.856	134.832
143.100	333.711	134.870
143.140	406.750	134.914
143.180	468.080	134.953
143.220	530.499	134.990
143.260	585.366	135.032
143.300	605.367	135.068
143.340	613.147	135.113
143.380	613.414	135.153
143.420	587.054	135.193
143.460	539.868	135.233
143.500	478.351	135.277
143.540	401.671	135.315
143.580	314.621	135.352
143.620	220.679	135.396
143.660	123.176	135.437
143.700	31.494	135.474
143.740	-48.845	135.514
143.780	-117.223	135.553
143.820	-180.948	135.594
143.860	-238.093	135.633
143.900	-283.169	135.676
143.940	-319.849	135.716
143.980	-348.607	135.752
144.020	-358.812	135.798
144.060	-350.885	135.833
